,bee_count,plant,year,month,state,county,Latitude,Longitude,scientificName,fips,lat,lon,elevation,mean_temp,wind_speed,wind_gust,precipitation
39,1,,2008,9,Missouri,Scotland,40.50023,-92.16366,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,61.1,4.6,,0.0
40,5,,2008,6,Missouri,Saint Charles,38.70967,-90.74902,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,74.1,2.9,15.9,0.0
41,3,,2008,7,Missouri,Saint Louis,38.62258,-90.37706999999999,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,67.2,1.8,,0.0
42,9,,2009,6,Nebraska,Garfield,41.7404,-98.8093,Bombus pensylvanicus,6085,37.231794799999996,-121.69514129999999,40.5,58.3,0.9,,0.0
43,1,,2009,6,Nebraska,Howard,41.1255,-98.5542,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,34.8,9.0,25.1,0.04
44,1,,2008,7,Nebraska,Lancaster,40.959990000000005,-96.86378,Bombus pensylvanicus,25025,42.33390357,-71.07309944,0.0,37.3,0.0,,0.0
45,1,,2009,7,North Carolina,Anson,35.04361,-80.025,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,50.7,17.4,45.1,0.17
46,1,,2009,7,North Carolina,Guilford,35.9806,-79.55724000000001,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,63.6,5.5,,0.0
47,1,,2009,7,Ohio,Ottawa,41.49377,-83.21989,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,67.6,5.2,17.1,0.0
48,7,,2009,8,Oklahoma,Bryan,33.9987,-96.53535,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,62.4,3.7,,0.0
49,1,,2009,8,Oklahoma,Bryan,33.9987,-96.53535,Bombus pensylvanicus,6075,37.75512993,-122.44088329999998,2.0,52.7,5.6,,0.0
50,8,,2009,8,Oklahoma,Cleveland,35.254020000000004,-97.2653,Bombus pensylvanicus,6085,37.231794799999996,-121.69514129999999,40.5,54.9,9.4,28.9,0.0
51,16,,2008,7,Oklahoma,Cleveland,35.189170000000004,-97.36465,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,41.7,14.1,31.1,0.0
52,9,,2008,7,Oklahoma,Comanche,34.7842,-98.51345,Bombus pensylvanicus,25025,42.33390357,-71.07309944,0.0,37.7,0.0,,0.0
53,2,,2009,7,South Carolina,Kershaw,34.15635,-80.57427,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,35.2,4.2,18.1,0.14
54,1,,2009,7,South Carolina,Laurens,34.44358,-81.75544000000001,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,58.1,8.9,24.1,0.0
55,1,,2008,8,South Dakota,Kingsbury,44.37173,-97.5246,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,53.3,11.5,31.1,0.0
56,15,,2008,8,South Dakota,Turner,43.19209,-97.08081,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,59.4,4.5,,0.02
57,14,,2008,8,South Dakota,Stanley,44.29068,-100.33306,Bombus pensylvanicus,6075,37.75512993,-122.44088329999998,2.0,47.7,4.2,,0.0
58,1,,2009,7,Tennessee,Benton,36.01198,-88.06058,Bombus pensylvanicus,6085,37.231794799999996,-121.69514129999999,40.5,48.1,10.5,26.0,0.0
59,5,,2008,7,Texas,Polk,30.67105,-94.71843,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,39.5,6.2,,0.0
60,67,,2008,7,Texas,Travis,30.350929999999998,-97.45035,Bombus pensylvanicus,25025,42.33390357,-71.07309944,0.0,40.4,0.0,,0.0
61,24,,2008,7,Texas,Travis,30.18556,-97.87051,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,34.5,2.2,,0.0
62,8,,2009,8,Texas,Bastrop,30.34797,-97.38469,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,46.8,8.2,,0.0
63,14,,2009,8,Texas,Eastland,32.09948,-98.96429,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,51.7,12.5,27.0,0.0
64,9,,2008,7,Texas,Galveston,29.086809999999996,-95.11679000000001,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,57.5,15.3,29.9,0.0
65,24,,2008,7,Texas,Galveston,29.094990000000003,-95.10417,Bombus pensylvanicus,6075,37.75512993,-122.44088329999998,2.0,50.7,7.1,,0.0
66,1,Epilobium latifolium,2010,8,Alaska,Valdez-Cordova,61.3871,-145.2288,Bombus moderatus,6085,37.231794799999996,-121.69514129999999,40.5,,,,
67,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus moderatus,17031,41.84003921,-87.81671569,186.5,36.3,16.5,33.0,0.0
68,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus moderatus,25025,42.33390357,-71.07309944,0.0,40.9,0.0,,0.0
69,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,53061,48.04748918,-121.6973065,41.8,31.7,2.7,,0.0
70,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,4013,33.34881254,-112.4913064,295.1,45.6,6.9,,0.0
71,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6037,34.35892237,-118.21704869999999,305.7,52.9,4.5,,0.0
72,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6059,33.70297871,-117.7610909,16.5,54.1,2.1,,0.0
73,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6075,37.75512993,-122.44088329999998,2.0,48.1,2.4,,0.0
